course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/422248,Python爬虫实战体验课,116人购买,达亚学院,¥1.00,共2节
//ke.qq.com/course/418037,深度学习之实战TensorFlow入门(收费）,11人购买,魏俊,¥58.00,共12节
//ke.qq.com/course/416547,Python入门系列教程3-面向对象,29人购买,博学谷,¥1.00,共12节
//ke.qq.com/course/417500,Python零基础快速入门班（计算机等级考试二级Python教程）,203人购买,青灯教育,¥298.00,共12节
//ke.qq.com/course/475100,大数据人工智能Python文本分类机器学习算法,1人购买,充电了么,¥6.00,共1节
//ke.qq.com/course/416562,Python入门系列教程4-项目实战,22人购买,博学谷,¥1.00,共11节
//ke.qq.com/course/408784,零基础编程Python+pycharm到精通,85人购买,潮享教育,¥39.98,共12节
//ke.qq.com/course/416652,Python入门系列教程2-python基础,26人购买,博学谷,¥1.00,共31节
//ke.qq.com/course/477780,Python原生开发持续集成框架,0人购买,蜗牛学院,¥9.00,共1节
//ke.qq.com/course/418998,【进阶】揭秘全套R语言与GGPLOT可视化精髓 玩转可视化数据分析,0人购买,职坐标,¥5000.00,共33节
//ke.qq.com/course/262449,Python入门及爬虫项目,18人购买,若泽数据,¥9.90,共3节
//ke.qq.com/course/413487,Python面向对象与模块化,530人购买,乐上轻至,¥9.00,共4节
//ke.qq.com/course/417803,40天完成商业级Storm分布式流式计算框架Spark开源集群计算系统,1人购买,职坐标,¥5000.00,共13节
//ke.qq.com/course/405610,第一行Python代码,735人购买,乐上轻至,¥1.00,共4节
//ke.qq.com/course/417752,【入门】从入门到实践搞定Python语法的学习，制作自己的聊天工具,2人购买,职坐标,¥5000.00,共9节
//ke.qq.com/course/347598,"MT4,MT5,Python智能交易编程赵老师探索答疑",111人购买,智德金智能交易学院,¥1.00,进度：60/60节
//ke.qq.com/course/417142,"【新手】新手从入门到实践一步搞定,快速上手python web开发工作",0人购买,职坐标,¥5000.00,共9节
//ke.qq.com/course/430061,【松松课堂】Python编程-宇宙激战,1人购买,骏茂教育,¥6.00,随到随学
//ke.qq.com/course/414917,【资深】2个月掌握django精髓，玩转python web开发,0人购买,职坐标,¥5000.00,共9节
//ke.qq.com/course/468601,Python Web开发动手练习项目V2.0 学生管理系统,2人购买,联科教育,¥9.90,共6节
//ke.qq.com/course/394011,【松松课堂】Python编程基础,11人购买,骏茂教育,¥6.00,随到随学
//ke.qq.com/course/414913,"【资深】2个月掌握urllib,requests等技术精髓,爬取想要的东西",0人购买,职坐标,¥5000.00,共19节
//ke.qq.com/course/465403,Python Web开发动手练习项目V1.0 学生管理系统,1人购买,联科教育,¥9.90,共5节
//ke.qq.com/course/427359,【松松课堂】Python高级编程,5人购买,骏茂教育,¥6.00,随到随学
//ke.qq.com/course/package/17363,Python全栈课程,56人购买,达亚学院,¥7380.00,
//ke.qq.com/course/446861,机器学习之Python编程,111人购买,宏福学校,¥18.80,共17节
//ke.qq.com/course/package/21069,python零基础到爬虫,0人购买,达亚学院,¥2000.00,
//ke.qq.com/course/package/22422,零基础学Python系列课程,21人购买,新梦想软件测试培训基地,¥28.90,
//ke.qq.com/course/package/16318,Python基础与实战,2人购买,李宁,¥368.00,
//ke.qq.com/course/404880,Python高级开发,118人购买,青灯教育,¥1199.00,开设2个班级
//ke.qq.com/course/463835,零基础学Python（上）,78人购买,新梦想软件测试培训基地,¥9.90,共12节
//ke.qq.com/course/388383,Flask Python Web 网站后台开发,2人购买,优特学院,¥1980.00,共43节
//ke.qq.com/course/426269,PYTHON-mysql数据库（二）,11人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/package/21169,Python爬虫工程师高薪就业班,7人购买,青灯教育,¥3796.00,
//ke.qq.com/course/425705,PYTHON并发编程（三）,6人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/343375,Python 精萃 -- 高级篇,10人购买,尚波,¥5.99,共18节
//ke.qq.com/course/431827,PYTHON-mysql数据库（五）,7人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/package/20279,Python高并发编程,1人购买,云知梦,¥58.00,
//ke.qq.com/course/426271,PYTHON-mysql数据库（三）,11人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/387593,MySQL Python 数据库管理,5人购买,优特学院,¥388.00,共30节
//ke.qq.com/course/425688,PYTHON并发编程（二）,16人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/362040,LeetCode 百题斩(13~16),50人购买,解惑者学院,¥0.02,共5节
//ke.qq.com/course/425680,PYTHON并发编程（一）,11人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/369044,Python3 零基础到实战开发 工具篇,66人购买,EASON,¥1.00,共5节
//ke.qq.com/course/363619,github入门与开发,51人购买,路飞学城,¥1.00,共27节
//ke.qq.com/course/package/18285,Python入门到爬虫进阶,2人购买,日月光华,¥198.00,
//ke.qq.com/course/364331,Windows下双版本Python环境安装,97人购买,路飞学城,¥0.10,共1节
//ke.qq.com/course/337404,人工智能之高等数学基础-AI入门课程,12人购买,万和IT教育,¥9.90,共6节
//ke.qq.com/course/425654,基础+模块+面向对象+网络编程 九,3人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/259720,Python爬虫Scrapy框架项目实战-万和IT教育,7人购买,万和IT教育,¥99.90,共10节
//ke.qq.com/course/425458,基础+模块+面向对象+网络编程 三,2人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/package/17309,Python小白到大牛全集,0人购买,智捷课堂,¥829.00,
//ke.qq.com/course/425404,基础+模块+面向对象+网络编程（一）,2人购买,路飞学城,¥1.00,共1节
//ke.qq.com/course/468091,零基础学Python（下）,29人购买,新梦想软件测试培训基地,¥9.90,共13节
//ke.qq.com/course/package/18916,Python全栈工程师+AI,2人购买,誉天教育,¥7999.00,
//ke.qq.com/course/466232,零基础学Python（中）,10人购买,新梦想软件测试培训基地,¥9.90,共13节
//ke.qq.com/course/378748,做项目学习Django2.0开发,76人购买,广州可锐尤软件科技有限责任公司,¥1.00,共5节
//ke.qq.com/course/436607,Python爬虫实战VIP班【灵犀教育】,135人购买,灵犀教育,¥1288.00,共12节
//ke.qq.com/course/300245,1小时掌握Python图像处理三大技巧,287人购买,数锐科技,¥19.90,共1节
//ke.qq.com/course/298600,人工智能+Python全栈开发工程师｜VIP就业班-零基础/6个月,1人购买,职坐标,¥18800,进度：16/38节
//ke.qq.com/course/package/18245,撩课-Python-玩转爬虫,1人购买,撩课教育,¥219.00,
//ke.qq.com/course/414446,Python爬虫课程,76人购买,逻辑教育,¥1980.00,开设3个班级
//ke.qq.com/course/432117,Scrapy爬虫框架,125人购买,乐上轻至,¥69.00,共4节
//ke.qq.com/course/340489,Python 精萃 -- 基础篇,23人购买,尚波,¥0.99,共18节
//ke.qq.com/course/383855,Python基础到高级实战,782人购买,六星云课堂,¥1980.00,进度：3/10节
//ke.qq.com/course/317719,LeetCode 百题斩(4~6),77人购买,解惑者学院,¥0.02,共4节
//ke.qq.com/course/389721,撩课-12306抢票-实战项目-概述,26人购买,撩课教育,¥10.00,共7节
//ke.qq.com/course/366511,【全民编程】Python全栈课程之Python基础入门,29人购买,夏正东,¥9.00,共47节
//ke.qq.com/course/267481,python程序设计：第1章 绪论 1.2计算机的思维与编程,27人购买,青少年趣味编程课堂,¥1.00,共8节
//ke.qq.com/course/180101,Python 网络爬虫数据采集 【优品课堂】,89人购买,优特学院,¥1298.00,共23节
//ke.qq.com/course/474287,Python3从入门到核心编程系列课程,1人购买,陈华编程学院,¥9.90,共9节
//ke.qq.com/course/403401,精品python核心教程,1万人购买,逻辑教育,¥98.00,共12节
//ke.qq.com/course/320473,LeetCode 百题斩(7~9),60人购买,解惑者学院,¥0.02,共4节
//ke.qq.com/course/340893,Python 精萃 -- 中级篇,11人购买,尚波,¥5.99,共20节
//ke.qq.com/course/358045,Python图像处理（OpenCV）,182人购买,天津拨云咨询服务有限公司,¥30.00,共17节
//ke.qq.com/course/470783,Python零基础入门动画教程,2人购买,冯春龙,¥9.80,共5节
//ke.qq.com/course/package/19461,详解Django入门到实战,6人购买,路飞学城,¥129.00,
//ke.qq.com/course/264212,python程序设计：第1章 绪论 1.1计算机科学,15人购买,青少年趣味编程课堂,¥1.00,共11节
//ke.qq.com/course/445859,【NEXT测试课】爬虫,2人购买,机构测试号-课堂教研,¥10.00,进度：1/1节
//ke.qq.com/course/447234,青少年Python编程基础课,1人购买,上海谦与谦信息技术有限公司,¥98.00,共63节
//ke.qq.com/course/355098,LeetCode 百题斩(10~12),12人购买,解惑者学院,¥0.02,共3节
//ke.qq.com/course/265918,Python小游戏－猜姓名,12人购买,方林,¥3.00,共1节
//ke.qq.com/course/361109,从0开始构建适合特定环境的CMDB系统,15人购买,路飞学城,¥79.00,共27节
//ke.qq.com/course/272628,2.2Python基本对象类型(适用于高中信息技术课程改革),17人购买,青少年趣味编程课堂,¥1.00,共7节
//ke.qq.com/course/411155,Python数据分析班,115人购买,逻辑教育,¥1980.00,开设3个班级
//ke.qq.com/course/447763,Python小程序：五猴分桃,0人购买,方林,¥2.00,共1节
//ke.qq.com/course/339665,Python C/C++联合编程实战,22人购买,夏曹俊,¥268.00,共18节
//ke.qq.com/course/203074,Python Tkinter界面应用开发,37人购买,黄棒清,¥9.90,共6节
//ke.qq.com/course/422997,Python数据分析与可视化,217人购买,乐上轻至,¥39.00,共4节
//ke.qq.com/course/394206,量化投资-单因子分析精讲,116人购买,聚宽量化课堂,¥388.00,共14节
//ke.qq.com/course/344490,Python基础入门视频课程（最适合初学者的教程）,62人购买,码上教育,¥39.00,共37节
//ke.qq.com/course/299789,师傅带徒弟学：Python正则表达式,29人购买,智捷课堂,¥19.00,共6节
//ke.qq.com/course/407400,Python进阶到项目实战,100人购买,达亚学院,¥6100.00,开设2个班级
//ke.qq.com/course/package/17310,Python Web全栈工程师,0人购买,智捷课堂,¥666.00,
//ke.qq.com/course/406612,Python零基础入门到进阶,215人购买,达亚学院,¥1280.00,开设3个班级
//ke.qq.com/course/393562,Python全栈高薪VIP体验班【六星教育】,5391人购买,六星云课堂,¥199.00,共6节
//ke.qq.com/course/package/23332,大数据分析高级课程,0人购买,北京盛久盈天科技有限公司,¥1980.00,
//ke.qq.com/course/package/22371,测试测试草草收场上传上传,0人购买,机构测试号-课堂教研,¥1999.00,
//ke.qq.com/course/430152,Python3零基础完全入门,21人购买,上海慈德教育科技有限公司,¥998.00,共68节
//ke.qq.com/course/435477,Python核心提升-内核修炼，能力提升,53人购买,缔凡教育,¥780.00,开设3个班级
//ke.qq.com/course/374285#term_id=100445651,PyQt5（Python）实战视频课程,37人购买,李宁,¥158.00,共23节
//ke.qq.com/course/package/20272,Python语言框架,0人购买,云知梦,¥93.00,
//ke.qq.com/course/389057#term_id=100547266,Python-春节12306抢票高薪VIP体验班【六星教育】,1953人购买,六星云课堂,¥0.02,共7节
//ke.qq.com/course/413952#term_id=100547266,Python数据分析从入门到实战,97人购买,青灯教育,¥2088.00,开设2个班级
//ke.qq.com/course/481534#term_id=100578364,Python爬虫精选视频【灵犀教育】,67人购买,灵犀教育,¥9.80,共5节
//ke.qq.com/course/465357#term_id=100578364,青少年python启蒙课程,1人购买,轻回车,¥9.90,共5节
//ke.qq.com/course/454840#term_id=100578364,10节课让你轻松学会python!,9231人购买,誉天教育,¥50.00,共1节
//ke.qq.com/course/380752#term_id=100578364,Python零基础轻松进入网络爬虫,10人购买,东方琦智,¥5.20,共1节
//ke.qq.com/course/479328#term_id=100578364,Python爬虫项目入门VIP体验班【六星教育】,187人购买,六星云课堂,¥99.00,共5节
//ke.qq.com/course/401507#term_id=100578364,Python切片操作深入详解,0人购买,东方琦智,¥9.80,共1节
//ke.qq.com/course/484077#term_id=100578364,量化交易基础----带学《Python编程：从入门到实践》,0人购买,吕琦,¥9.00,共18节
//ke.qq.com/course/391758#term_id=100578364,Python队列多线程快速的网络爬虫,3人购买,东方琦智,¥9.99,共1节
//ke.qq.com/course/436899#term_id=100578364,Python Web 网站后台开发（Flask 框架）,38人购买,青灯教育,¥518.00,共7节
//ke.qq.com/course/443551#term_id=100578364,Python数据分析实战VIP班,97人购买,灵犀教育,¥1998.00,共9节
